"Label (Grouping)","Total population 25 years and over with a Bachelor's degree or higher","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!Business","Total population 25 years and over with a Bachelor's degree or higher!!Education","Total population 25 years and over with a Bachelor's degree or higher!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!25 to 39 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!40 to 64 years!!Arts, Humanities and Others","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Science and Engineering Related Fields","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Business","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Education","Total population 25 years and over with a Bachelor's degree or higher!!DETAILED AGE!!65 years and over!!Arts, Humanities and Others"
"        Margin of Error","±18,291","±14,360","±7,439","±10,682","±6,329","±10,202","","±10,900","±8,892","±4,128","±5,974","±3,473","±6,284","±12,440","±10,113","±5,328","±7,117","±4,067","±7,247","±6,857","±4,729","±2,594","±3,204","±3,367","±3,610"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","42.0%","8.9%","17.7%","8.6%","22.8%","","(X)","45.4%","8.4%","15.3%","6.2%","24.6%","(X)","41.2%","9.3%","20.9%","6.4%","22.2%","(X)","38.7%","8.9%","13.9%","17.2%","21.3%"
"        Margin of Error","(X)","±0.6","±0.4","±0.5","±0.3","±0.6","","(X)","±1.3","±0.7","±1.0","±0.6","±1.1","(X)","±0.9","±0.6","±0.8","±0.5","±0.8","(X)","±1.1","±0.7","±0.8","±0.8","±0.9"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","843,482","432,111","40,375","164,282","33,070","173,644","","252,937","132,916","11,347","42,633","7,395","58,646","400,934","201,010","20,307","88,182","12,712","78,723","189,611","98,185","8,721","33,467","12,963","36,275"
"        Margin of Error","±11,979","±10,355","±3,439","±7,092","±2,751","±6,069","","±7,204","±6,661","±1,800","±4,021","±1,632","±4,215","±8,918","±7,439","±2,162","±4,976","±1,744","±4,389","±4,373","±3,613","±1,482","±2,347","±1,469","±2,277"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","51.2%","4.8%","19.5%","3.9%","20.6%","","(X)","52.5%","4.5%","16.9%","2.9%","23.2%","(X)","50.1%","5.1%","22.0%","3.2%","19.6%","(X)","51.8%","4.6%","17.7%","6.8%","19.1%"
"        Margin of Error","(X)","±0.9","±0.4","±0.8","±0.3","±0.7","","(X)","±2.1","±0.7","±1.5","±0.6","±1.6","(X)","±1.3","±0.5","±1.1","±0.4","±1.0","(X)","±1.5","±0.8","±1.1","±0.7","±1.2"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","974,720","331,388","121,600","157,553","123,654","240,525","","315,309","125,239","36,329","44,398","28,027","81,316","469,076","157,226","60,274","93,714","43,257","114,605","190,335","48,923","24,997","19,441","52,370","44,604"
"        Margin of Error","±11,251","±8,469","±6,083","±6,106","±5,418","±6,954","","±7,083","±5,395","±3,637","±3,230","±3,164","±4,756","±8,066","±6,316","±4,365","±4,810","±3,411","±5,065","±4,593","±2,863","±2,058","±2,165","±2,896","±2,985"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","34.0%","12.5%","16.2%","12.7%","24.7%","","(X)","39.7%","11.5%","14.1%","8.9%","25.8%","(X)","33.5%","12.8%","20.0%","9.2%","24.4%","(X)","25.7%","13.1%","10.2%","27.5%","23.4%"
"        Margin of Error","(X)","±0.7","±0.6","±0.6","±0.5","±0.7","","(X)","±1.5","±1.1","±1.0","±1.0","±1.4","(X)","±1.1","±0.9","±1.0","±0.7","±1.1","(X)","±1.4","±1.1","±1.1","±1.4","±1.4"
"Massachusetts","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,300,423","949,100","187,879","410,688","203,767","548,989","","822,257","371,749","68,710","146,298","38,706","196,794","1,018,228","416,997","77,598","207,250","78,027","238,356","459,938","160,354","41,571","57,140","87,034","113,839"
"        Margin of Error","±21,552","±14,278","±7,211","±10,186","±6,852","±10,954","","±13,921","±10,446","±4,136","±6,832","±3,399","±7,460","±14,534","±10,004","±4,783","±6,503","±4,683","±7,486","±9,261","±6,196","±3,149","±4,611","±3,459","±5,431"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","41.3%","8.2%","17.9%","8.9%","23.9%","","(X)","45.2%","8.4%","17.8%","4.7%","23.9%","(X)","41.0%","7.6%","20.4%","7.7%","23.4%","(X)","34.9%","9.0%","12.4%","18.9%","24.8%"
"        Margin of Error","(X)","±0.5","±0.3","±0.4","±0.3","±0.4","","(X)","±0.9","±0.5","±0.8","±0.4","±0.9","(X)","±0.7","±0.4","±0.6","±0.4","±0.7","(X)","±1.2","±0.7","±0.9","±0.7","±1.1"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,086,829","537,369","45,469","233,985","36,023","233,983","","379,346","195,942","16,766","81,863","4,693","80,082","479,633","235,053","18,072","109,449","13,316","103,743","227,850","106,374","10,631","42,673","18,014","50,158"
"        Margin of Error","±13,498","±10,482","±3,188","±8,125","±3,322","±7,215","","±8,219","±7,451","±2,226","±4,918","±911","±5,135","±8,575","±7,563","±2,249","±4,976","±2,114","±4,137","±5,590","±4,517","±1,498","±3,560","±1,902","±3,578"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","49.4%","4.2%","21.5%","3.3%","21.5%","","(X)","51.7%","4.4%","21.6%","1.2%","21.1%","(X)","49.0%","3.8%","22.8%","2.8%","21.6%","(X)","46.7%","4.7%","18.7%","7.9%","22.0%"
"        Margin of Error","(X)","±0.7","±0.3","±0.7","±0.3","±0.7","","(X)","±1.6","±0.6","±1.2","±0.2","±1.3","(X)","±1.1","±0.5","±0.9","±0.4","±0.9","(X)","±1.7","±0.6","±1.4","±0.8","±1.5"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,213,594","411,731","142,410","176,703","167,744","315,006","","442,911","175,807","51,944","64,435","34,013","116,712","538,595","181,944","59,526","97,801","64,711","134,613","232,088","53,980","30,940","14,467","69,020","63,681"
"        Margin of Error","±13,841","±8,832","±5,780","±5,768","±6,165","±8,368","","±8,788","±5,900","±3,278","±4,209","±3,116","±5,645","±10,003","±6,009","±4,042","±4,392","±4,072","±5,713","±5,853","±3,660","±2,648","±2,255","±3,317","±3,575"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","33.9%","11.7%","14.6%","13.8%","26.0%","","(X)","39.7%","11.7%","14.5%","7.7%","26.4%","(X)","33.8%","11.1%","18.2%","12.0%","25.0%","(X)","23.3%","13.3%","6.2%","29.7%","27.4%"
"        Margin of Error","(X)","±0.6","±0.5","±0.4","±0.5","±0.6","","(X)","±1.1","±0.7","±0.9","±0.7","±1.2","(X)","±1.0","±0.7","±0.8","±0.7","±0.9","(X)","±1.4","±1.1","±0.9","±1.3","±1.4"
"Michigan","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","2,208,170","747,284","261,197","455,138","277,373","467,178","","694,023","260,971","86,377","129,807","51,107","165,761","1,033,810","348,419","118,506","245,949","111,007","209,929","480,337","137,894","56,314","79,382","115,259","91,488"
"        Margin of Error","±18,390","±12,221","±8,433","±10,537","±7,771","±9,740","","±11,859","±7,242","±4,617","±5,568","±3,927","±6,130","±13,935","±8,412","±5,093","±7,888","±4,903","±6,800","±8,092","±4,692","±3,613","±3,327","±4,980","±4,453"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","33.8%","11.8%","20.6%","12.6%","21.2%","","(X)","37.6%","12.4%","18.7%","7.4%","23.9%","(X)","33.7%","11.5%","23.8%","10.7%","20.3%","(X)","28.7%","11.7%","16.5%","24.0%","19.0%"
"        Margin of Error","(X)","±0.5","±0.4","±0.4","±0.3","±0.4","","(X)","±1.0","±0.6","±0.7","±0.5","±0.8","(X)","±0.7","±0.5","±0.6","±0.4","±0.6","(X)","±0.9","±0.7","±0.7","±1.0","±0.8"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,037,597","462,972","72,099","237,644","69,167","195,715","","312,319","148,108","22,333","65,051","11,163","65,664","478,857","215,373","31,805","118,481","26,649","86,549","246,421","99,491","17,961","54,112","31,355","43,502"
"        Margin of Error","±11,241","±8,570","±3,814","±7,785","±3,349","±6,764","","±6,930","±5,660","±2,204","±3,943","±1,688","±4,363","±8,626","±5,285","±2,876","±5,106","±2,166","±4,011","±4,655","±3,264","±1,760","±2,867","±2,215","±2,840"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","44.6%","6.9%","22.9%","6.7%","18.9%","","(X)","47.4%","7.2%","20.8%","3.6%","21.0%","(X)","45.0%","6.6%","24.7%","5.6%","18.1%","(X)","40.4%","7.3%","22.0%","12.7%","17.7%"
"        Margin of Error","(X)","±0.7","±0.4","±0.7","±0.3","±0.6","","(X)","±1.5","±0.7","±1.2","±0.5","±1.3","(X)","±0.9","±0.6","±0.9","±0.4","±0.8","(X)","±1.2","±0.7","±1.1","±0.9","±1.0"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,170,573","284,312","189,098","217,494","208,206","271,463","","381,704","112,863","64,044","64,756","39,944","100,097","554,953","133,046","86,701","127,468","84,358","123,380","233,916","38,403","38,353","25,270","83,904","47,986"
"        Margin of Error","±11,346","±7,096","±6,979","±7,254","±6,554","±7,199","","±7,742","±4,589","±3,965","±3,910","±3,484","±4,165","±8,479","±5,489","±4,004","±5,718","±4,145","±5,007","±5,712","±2,833","±2,760","±2,049","±3,939","±3,238"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","24.3%","16.2%","18.6%","17.8%","23.2%","","(X)","29.6%","16.8%","17.0%","10.5%","26.2%","(X)","24.0%","15.6%","23.0%","15.2%","22.2%","(X)","16.4%","16.4%","10.8%","35.9%","20.5%"
"        Margin of Error","(X)","±0.6","±0.6","±0.6","±0.5","±0.6","","(X)","±1.2","±1.0","±1.0","±0.8","±0.9","(X)","±0.9","±0.7","±0.9","±0.7","±0.9","(X)","±1.2","±1.1","±0.9","±1.5","±1.2"
"Minnesota","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,516,426","514,859","152,219","302,861","191,362","355,125","","519,727","191,854","55,309","105,432","38,322","128,810","694,903","233,951","63,974","156,563","79,594","160,821","301,796","89,054","32,936","40,866","73,446","65,494"
"        Margin of Error","±15,131","±9,511","±5,865","±7,922","±7,100","±9,925","","±10,210","±6,761","±3,491","±4,918","±2,864","±6,537","±11,190","±7,208","±4,305","±6,639","±4,107","±6,596","±6,427","±4,099","±2,707","±2,810","±3,870","±3,315"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","34.0%","10.0%","20.0%","12.6%","23.4%","","(X)","36.9%","10.6%","20.3%","7.4%","24.8%","(X)","33.7%","9.2%","22.5%","11.5%","23.1%","(X)","29.5%","10.9%","13.5%","24.3%","21.7%"
"        Margin of Error","(X)","±0.6","±0.4","±0.5","±0.4","±0.6","","(X)","±1.1","±0.6","±0.9","±0.5","±1.1","(X)","±0.9","±0.6","±0.9","±0.6","±0.8","(X)","±1.3","±0.8","±0.9","±1.1","±1.0"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","720,607","311,406","39,103","173,920","50,833","145,345","","236,221","105,378","12,135","60,886","8,603","49,219","331,848","141,291","16,015","84,424","21,572","68,546","152,538","64,737","10,953","28,610","20,658","27,580"
"        Margin of Error","±9,211","±7,133","±2,973","±6,406","±3,384","±5,976","","±5,661","±4,644","±1,902","±3,909","±1,282","±3,758","±6,449","±5,362","±1,966","±4,526","±2,131","±4,046","±4,167","±3,187","±1,289","±2,168","±1,757","±1,819"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","43.2%","5.4%","24.1%","7.1%","20.2%","","(X)","44.6%","5.1%","25.8%","3.6%","20.8%","(X)","42.6%","4.8%","25.4%","6.5%","20.7%","(X)","42.4%","7.2%","18.8%","13.5%","18.1%"
"        Margin of Error","(X)","±0.9","±0.4","±0.9","±0.5","±0.8","","(X)","±1.7","±0.8","±1.5","±0.5","±1.5","(X)","±1.3","±0.6","±1.3","±0.6","±1.1","(X)","±1.8","±0.8","±1.3","±1.0","±1.2"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","795,819","203,453","113,116","128,941","140,529","209,780","","283,506","86,476","43,174","44,546","29,719","79,591","363,055","92,660","47,959","72,139","58,022","92,275","149,258","24,317","21,983","12,256","52,788","37,914"
"        Margin of Error","±10,220","±5,717","±4,818","±4,771","±5,782","±6,552","","±6,956","±4,248","±3,091","±3,174","±2,572","±4,680","±6,880","±4,234","±3,430","±4,363","±3,441","±4,005","±4,490","±2,120","±2,234","±1,524","±3,103","±2,707"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","25.6%","14.2%","16.2%","17.7%","26.4%","","(X)","30.5%","15.2%","15.7%","10.5%","28.1%","(X)","25.5%","13.2%","19.9%","16.0%","25.4%","(X)","16.3%","14.7%","8.2%","35.4%","25.4%"
"        Margin of Error","(X)","±0.7","±0.6","±0.6","±0.7","±0.7","","(X)","±1.3","±1.0","±1.1","±0.9","±1.4","(X)","±1.1","±0.9","±1.1","±0.9","±1.0","(X)","±1.4","±1.4","±1.0","±1.8","±1.6"
"Mississippi","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","487,663","128,950","63,727","99,150","102,763","93,073","","147,607","45,128","21,599","26,234","20,661","33,985","221,725","56,764","30,401","51,110","40,145","43,305","118,331","27,058","11,727","21,806","41,957","15,783"
"        Margin of Error","±12,779","±6,751","±5,754","±5,232","±5,661","±6,018","","±7,100","±4,287","±3,241","±3,137","±3,425","±3,471","±8,927","±4,350","±4,055","±3,461","±4,062","±4,371","±5,721","±2,219","±1,900","±2,418","±3,160","±2,001"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","26.4%","13.1%","20.3%","21.1%","19.1%","","(X)","30.6%","14.6%","17.8%","14.0%","23.0%","(X)","25.6%","13.7%","23.1%","18.1%","19.5%","(X)","22.9%","9.9%","18.4%","35.5%","13.3%"
"        Margin of Error","(X)","±1.2","±1.1","±0.9","±1.0","±1.2","","(X)","±2.5","±1.9","±2.0","±2.1","±2.5","(X)","±1.6","±1.7","±1.5","±1.6","±1.8","(X)","±1.7","±1.5","±1.9","±2.0","±1.5"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","199,897","75,780","14,223","50,503","22,110","37,281","","55,373","24,300","2,927","10,627","5,015","12,504","90,229","32,283","6,737","24,462","7,984","18,763","54,295","19,197","4,559","15,414","9,111","6,014"
"        Margin of Error","±8,069","±4,737","±2,425","±4,066","±2,760","±3,678","","±3,954","±2,983","±1,009","±1,832","±1,596","±1,845","±5,855","±3,243","±1,686","±2,895","±1,696","±3,125","±3,067","±1,917","±1,061","±2,154","±1,584","±1,183"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","37.9%","7.1%","25.3%","11.1%","18.7%","","(X)","43.9%","5.3%","19.2%","9.1%","22.6%","(X)","35.8%","7.5%","27.1%","8.8%","20.8%","(X)","35.4%","8.4%","28.4%","16.8%","11.1%"
"        Margin of Error","(X)","±2.1","±1.1","±1.6","±1.3","±1.7","","(X)","±4.3","±1.8","±3.1","±2.8","±2.9","(X)","±3.0","±1.8","±2.6","±1.8","±3.1","(X)","±3.4","±1.9","±3.3","±2.9","±2.0"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","287,766","53,170","49,504","48,647","80,653","55,792","","92,234","20,828","18,672","15,607","15,646","21,481","131,496","24,481","23,664","26,648","32,161","24,542","64,036","7,861","7,168","6,392","32,846","9,769"
"        Margin of Error","±8,124","±4,048","±4,690","±3,887","±5,077","±5,067","","±5,974","±2,932","±3,088","±2,526","±2,804","±3,340","±5,798","±2,884","±3,391","±2,546","±3,440","±2,966","±4,085","±1,569","±1,390","±1,232","±2,833","±1,652"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","(X)","18.5%","17.2%","16.9%","28.0%","19.4%","","(X)","22.6%","20.2%","16.9%","17.0%","23.3%","(X)","18.6%","18.0%","20.3%","24.5%","18.7%","(X)","12.3%","11.2%","10.0%","51.3%","15.3%"
"        Margin of Error","(X)","±1.3","±1.6","±1.2","±1.4","±1.7","","(X)","±2.8","±2.8","±2.6","±2.7","±3.7","(X)","±2.0","±2.4","±1.8","±2.3","±2.1","(X)","±2.3","±2.0","±1.9","±3.1","±2.3"
"Missouri","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","1,340,643","406,154","149,966","292,735","200,134","291,654","","446,921","148,948","51,988","88,118","48,012","109,855","614,744","179,363","69,967","152,343","82,623","130,448","278,978","77,843","28,011","52,274","69,499","51,351"
"        Margin of Error","±18,470","±9,956","±5,927","±9,850","±7,867","±9,205","","±11,149","±7,174","±3,400","±5,637","±3,980","±6,171","±13,632","±6,347","±4,361","±7,026","±4,390","±7,087","±7,773","±4,217","±2,334","±3,689","±4,202","±3,629"
